visitID,site,rankGlobal,party
314,federalistpress.com,15536141,right
123,chicksontheright.com,15756311,right
87,newzeal.blogspot.com,15778611,right
499,newsninja2012.com,15965414,right
372,reagancoalition.com,16006089,right
297,rightalert.com,16049165,right
522,redrightrepublic.com,16100662,right
147,americandailypatriot.com,16148100,right
209,americauncensored.net,16220185,right
406,leftscoop.com,16358033,left
466,patdollard.com,16575518,right
550,dailyusaupdate.com,16701002,right
43,dailypresser.com,18915439,right
220,reviveusa.com,19152224,right
353,theproudliberal.org,19379935,left
28,pamelageller.com,NA,right
53,allenwestrepublic.com,NA,right
65,overpassesforamerica.com,NA,right
91,fury.news,NA,right
97,4threvolutionarywar.wordpress.com,NA,left
120,100percentfedup.com,NA,right
125,loudobbs.com,NA,right
126,21stcenturywire.com,NA,left
127,excaliburreport.com,NA,right
129,uspoliticsinfo.com,NA,right
139,bloodyrubbish.com,NA,right
156,liberalmountain.com,NA,left
159,patriot.tv,NA,right
182,shark-tank.com,NA,right
184,theimmoralminority.blogspot.ca,NA,left
186,usadailyreports.com,NA,right
188,rednationweekly.com,NA,right
192,readmeeveryday.com,NA,right
196,unhyphenatedamerica.org,NA,right
210,craigjames.com,NA,right
217,dailyherald.news,NA,right
222,usjournalreview.com,NA,right
223,redrocktribune.com,NA,right
224,politicalpool.com,NA,right
229,dieharddemocrat.com,NA,left
237,freedomfirst.news,NA,right
240,youngprogressivevoices.com,NA,left
241,uspostman.com,NA,right
242,usapoliticsnow.com,NA,right
243,usaonlinetoday.com,NA,left
244,thestarchronicle.com,NA,right
245,sgsnews.com,NA,right
246,patriotreporting.com,NA,right
247,informedowners.com,NA,right
248,visiontoamerica.com,NA,right
249,conservativeshere.com,NA,right
255,patriotoutdoornews.com,NA,right
261,occupyliberals.com,NA,left
263,americonnews.com,NA,right
264,truth-out.org,NA,left
276,theconservativerepublic.com,NA,right
279,rawprogressive.com,NA,left
280,meanlefthook.com,NA,left
291,ih8hillary.com,NA,right
293,vesselnews.io,NA,left
296,savingourfuture.com,NA,right
298,revealingpolitics.com,NA,right
299,patriottribune.com,NA,right
303,freakoutnation.com,NA,left
308,redherald.com,NA,right
309,minutemennews.com,NA,right
311,63red.com,NA,right
313,usnewz24.com,NA,right
315,usanewsflash.com,NA,right
330,viralpatriots.com,NA,right
332,rightforever.com,NA,right
333,utnews.info,NA,right
336,voices4hillary.com,NA,left
340,liberalsociety.com,NA,left
345,counterpunch.com,NA,left
347,conservativeconstitutionalists.com,NA,right
361,conservativespirit.com,NA,right
362,conservativedeplorable.com,NA,right
367,leftliberal.com,NA,left
377,winningdemocrats.com,NA,left
378,webdaily.com,NA,right
379,usapubliclife.com,NA,right
380,truthmonitor.com,NA,right
386,progressivestoday.com,NA,right
387,politicaljungle.net,NA,right
389,patriotbeacon.com,NA,right
390,onlineconservativepress.com,NA,right
393,libertyfederation.com,NA,right
394,liberalplug.com,NA,left
399,embols.com,NA,right
403,bignuggetnews.com,NA,right
404,americanfreedomblog.com,NA,right
409,usaphase.com,NA,right
414,dailynewscycle.com,NA,right
415,americanpoliticnews.com,NA,right
416,thedailydeplorables.com,NA,right
424,proud-patriots.com,NA,right
429,glennbeckunhinged.com,NA,left
430,dailyinfo.co,NA,right
431,dailygotham.com,NA,left
433,citizensfortrump.com,NA,right
434,borntoberight.com,NA,right
438,spinzon.com,NA,right
439,universepolitics.com,NA,right
443,politicalalley.com,NA,right
445,politicalillusionsexposed.com,NA,right
446,thedailynewsbox.com,NA,right
447,thinkrightpolitics.com,NA,right
448,conservativearmy88.com,NA,right
449,anotherdayintheempire.com,NA,left
450,worldnewsandrumors.space,NA,right
451,washingtonjournal.com,NA,left
452,washingtonfeed.com,NA,right
453,vanguardofliberty.org,NA,right
455,usaviralpolitics.com,NA,right
457,trumpvision365.com,NA,right
458,trumpers.online,NA,right
460,thepopulist.buzz,NA,left
461,stacyontheright.com,NA,right
462,rednecknewswire.com,NA,right
463,politicalupdater.com,NA,left
465,politicalears.com,NA,right
468,mrcblog.com,NA,right
470,libertyviral.com,NA,right
472,justicewriters.com,NA,left
474,equalvoiceforfamilies.org,NA,left
475,donaldtrumppotus45.com,NA,right
477,departed.co,NA,right
478,dailyleak.org,NA,left
479,cscmediagroupus.com,NA,right
480,cooltobeconservative.com,NA,right
483,bluetribune.com,NA,left
485,allpoliticalnews.com,NA,right
487,thenewyorkevening.com,NA,right
488,thepoliticalherald.com,NA,right
489,leftwingnation.org,NA,left
490,westsentinel.com,NA,right
491,newpoliticstoday.com,NA,right
492,goneleft.com,NA,left
493,politicspaper.com,NA,right
494,sharpelbowsstl.blogspot.ca,NA,right
495,conservativeflashnews.com,NA,right
497,resistmedia.org,NA,left
504,janmorganmedia.com,NA,right
505,blue-route.org,NA,left
506,analogpolitics.com,NA,right
507,theexaminer.site,NA,right
508,topusanewspolitics.com,NA,left
509,24usnews.com,NA,right
510,lettucetalkaboutit.com,NA,right
511,amposts.com,NA,right
512,viralhubbub.com,NA,right
513,usaworldbox.com,NA,right
514,cosmo-politics.com,NA,right
515,nutbarfactor.com,NA,right
516,usanewspolitics.com,NA,right
517,totalworldnews.com,NA,right
518,redconservativeclub.com,NA,right
519,foundingbloggers.com,NA,right
520,consamerica.com,NA,right
521,usanewsinsider.com,NA,right
523,instaworldnews.com,NA,right
524,thetrumpmedia.com,NA,right
525,redcountry.us,NA,right
526,proamericanews.com,NA,right
527,politicalinbox.com,NA,right
530,news-4.us,NA,right
537,fightingfortrump.com,NA,right
538,democratizeus.com,NA,left
539,conservativedailyreview.com,NA,right
540,buzzfeedusa.com,NA,right
543,arcmedia.org,NA,right
545,alexpoucher.com,NA,left
546,againstcronycapitalism.org,NA,left
547,usainfonews.com,NA,right
548,anews-24.com,NA,right
549,federalisttribune.com,NA,right
552,americantruepatriots.com,NA,right
553,thedailypatriots.com,NA,right
554,newsbreakshere.com,NA,right
555,nationalinsiderpolitics.com,NA,right
556,departedmedia.com,NA,right
