visitIDs,site,jsCookies,party
199,committeetodefendthepresident.com,48,right
267,rare.us,48,right
545,alexpoucher.com,48,left
30,ipatriot.com,47.5,right
271,liberalamerica.org,47,left
276,theconservativerepublic.com,47,right
68,bearingarms.com,46.5,right
207,rewire.news,46,left
88,thefederalistpapers.org,44.5,right
169,bulletsfirst.net,44,right
153,truthinmedia.com,43.5,right
393,libertyfederation.com,43,right
405,fixthisnation.com,43,right
386,progressivestoday.com,42.5,right
390,onlineconservativepress.com,42.5,right
190,dailysignal.com,42,right
203,teaparty.org,41,right
128,americanconservativeherald.com,40.5,right
163,dailysurge.com,40.5,right
193,donaldtrumpnews.net,40.5,right
194,cynthiafarahat.com,39.5,right
294,dailypoliticalnewswire.com,39.5,right
347,conservativeconstitutionalists.com,39.5,right
202,weaselzippers.us,39,right
370,endingthefed.com,38.5,right
115,motherjones.com,38,left
131,offthewire.com,37.5,right
66,redstate.com,37,right
205,rushlimbaugh.com,37,right
189,nationofchange.org,36.5,left
222,usjournalreview.com,36.5,right
129,uspoliticsinfo.com,36,right
132,libertyblitzkrieg.com,36,right
145,tmn.today,36,right
224,politicalpool.com,36,right
351,abeldanger.net,36,left
308,redherald.com,35,right
216,smirkingchimp.com,34,left
223,redrocktribune.com,34,right
400,conservativepost.com,34,right
89,latinorebels.com,33.5,left
99,upworthy.com,33.5,left
407,conservativerevival.com,33.5,right
53,allenwestrepublic.com,33,right
171,hangthebankers.com,32.5,right
257,newcriterion.com,32.5,right
273,danaloeschradio.com,32.5,right
191,dcclothesline.com,31,right
220,reviveusa.com,30.5,right
277,theamericanmirror.com,30.5,right
93,intrepidreport.com,30,right
149,realprogressivesusa.com,30,left
198,wonkette.com,29.5,left
254,rightbias.com,29.5,right
226,truthdig.com,28.5,left
184,theimmoralminority.blogspot.ca,28,left
375,feministing.com,28,left
418,ijr.com,28,right
197,newscorpse.com,27,left
253,youngcons.com,27,right
284,redhotconservative.com,27,right
233,yesmagazine.org,26.5,left
288,modernliberals.com,26.5,left
204,spartareport.com,26,right
227,usasupreme.com,26,right
239,teapartytribune.com,26,right
260,billmoyers.com,26,left
167,bigamericannews.com,25,right
218,conservativereview.com,25,right
219,goppresidential.com,25,right
